Q,A,premise
How many total records are in the dataset?,There are 5000 records in the dataset.,"Step 1: Count total rows in the dataset.
Step 2: Total rows = 5,000."
What is the overall user churn rate?,The overall user churn rate is 53.06% (2653 out of 5000 users churned).,"Step 1: Count UserChurned == True = 2,653.
Step 2: Total users = 5,000.
Step 3: Churn rate = 2,653 / 5,000 = 53.06%."
How many users churned versus how many were retained?,2653 users churned and 2347 users were retained.,"Step 1: Count UserChurned == True = 2,653.
Step 2: Count UserChurned == False = 2,347.
Step 3: 2,653 + 2,347 = 5,000 (matches total)."
What date range does the dataset cover?,The dataset covers events from 2023-07-04 to 2023-07-30 (July 2023).,"Step 1: Inspect event_date column.
Step 2: min(event_date) = 2023-07-04.
Step 3: max(event_date) = 2023-07-30."
How many unique countries are represented in the dataset?,There are 15 unique countries represented in the dataset.,"Step 1: Count unique values in country column.
Step 2: Unique countries = 15."
Which country has the most users in the dataset?,Indonesia has the most users with 782 records.,"Step 1: Count records per country.
Step 2: Indonesia = 782, Pakistan = 569, Philippines = 470, Egypt = 380, Brazil = 331, ...
Step 3: Indonesia has the highest count at 782."
Which country has the highest churn rate among the top 5 countries by user count?,Brazil has the highest churn rate at 64.65% among the top 5 countries by user count.,"Step 1: Identify top 5 countries by user count: Indonesia(782), Pakistan(569), Philippines(470), Egypt(380), Brazil(331).
Step 2: Compute churn rate per country: Indonesia=46.04%, Pakistan=50.97%, Philippines=46.38%, Egypt=47.63%, Brazil=64.65%.
Step 3: Rank descending → Brazil has the highest churn at 64.65%."
What is the churn rate for users from Indonesia?,The churn rate for users from Indonesia is 46.04%.,"Step 1: Filter country == 'Indonesia' → n=782.
Step 2: Churn rate = churned / total in group = 46.04%."
What is the churn rate for users from Pakistan?,The churn rate for users from Pakistan is 50.97%.,"Step 1: Filter country == 'Pakistan' → n=569.
Step 2: Churn rate = churned / total in group = 50.97%."
What is the churn rate for users from the Philippines?,The churn rate for users from the Philippines is 46.38%.,"Step 1: Filter country == 'Philippines' → n=470.
Step 2: Churn rate = churned / total in group = 46.38%."
