Q,A,premise
How many employee records are in the dataset?,"There are 59,598 employee records in the dataset.","Step 1: Count total rows in the dataset.
Step 2: Total rows = 59,598."
How many employees left versus stayed?,"28,338 employees left and 31,260 stayed.","Step 1: Filter Attrition == 'Left' → count = 28,338.
Step 2: Filter Attrition == 'Stayed' → count = 31,260.
Step 3: 28,338 + 31,260 = 59,598 (matches total)."
What is the overall attrition rate?,The overall attrition rate is 47.55%.,"Step 1: Count employees who Left = 28,338.
Step 2: Total employees = 59,598.
Step 3: Attrition rate = 28,338 / 59,598 = 47.55%."
How many columns does the dataset have?,"The dataset has 24 columns covering demographics, job details, work environment, and attrition outcome.","Step 1: Count columns in the dataset.
Step 2: Columns = Employee ID, Age, Gender, Years at Company, Job Role, Monthly Income, Work-Life Balance, Job Satisfaction, Performance Rating, Number of Promotions, Overtime, Distance from Home, Education Level, Marital Status, Number of Dependents, Job Level, Company Size, Company Tenure, Remote Work, Leadership Opportunities, Innovation Opportunities, Company Reputation, Employee Recognition, Attrition.
Step 3: Total = 24 columns."
What are the numeric columns in the dataset?,"The numeric columns are: Age, Years at Company, Monthly Income, Number of Promotions, Distance from Home, Number of Dependents, and Company Tenure.","Step 1: Inspect each column's data type.
Step 2: Numeric columns (integer/float): Age, Years at Company, Monthly Income, Number of Promotions, Distance from Home, Number of Dependents, Company Tenure.
Step 3: All other columns are categorical."
What is the attrition rate by gender?,Female employees have an attrition rate of 53.16% and male employees have a rate of 42.94%.,"Step 1: Filter Female employees → 26,859 records. Compute attrition = Left / total = 53.16%.
Step 2: Filter Male employees → 32,739 records. Compute attrition = Left / total = 42.94%."
Which gender has the higher attrition rate?,Female employees have a higher attrition rate (53.16%) compared to male employees (42.94%).,"Step 1: Female attrition rate = 53.16%.
Step 2: Male attrition rate = 42.94%.
Step 3: Compare: 53.16% > 42.94% → Female is higher."
How many male and female employees are in the dataset?,"There are 32,739 male and 26,859 female employees.","Step 1: Count by Gender.
Step 2: Male = 32,739.
Step 3: Female = 26,859.
Step 4: 32,739 + 26,859 = 59,598 (matches total)."
Which job role has the highest attrition rate?,Education has the highest attrition rate at 48.72%.,"Step 1: Compute attrition rate per Job Role.
Step 2: Education=48.72%, Media=47.44%, Healthcare=47.31%, Technology=47.29%, Finance=46.80%.
Step 3: Rank descending → Education leads at 48.72%."
Which job role has the lowest attrition rate?,Finance has the lowest attrition rate at 46.80%.,"Step 1: Compute attrition rate per Job Role.
Step 2: Finance=46.80%, Technology=47.29%, Healthcare=47.31%, Media=47.44%, Education=48.72%.
Step 3: Rank ascending → Finance is lowest at 46.80%."
How do attrition rates compare across all five job roles?,"Education leads at 48.72%, followed by Media (47.44%), Healthcare (47.31%), Technology (47.29%), and Finance (46.80%). The gap is narrow — less than 2 percentage points across all roles.","Step 1: Compute attrition rate per Job Role.
Step 2: Education=48.72%, Media=47.44%, Healthcare=47.31%, Technology=47.29%, Finance=46.80%.
Step 3: Gap = 48.72% - 46.80% = 1.92 percentage points across all roles."
How many employees work in Technology?,"15,507 employees work in Technology, the largest job-role group.","Step 1: Count employees where Job Role == 'Technology'.
Step 2: Technology = 15,507.
Step 3: Compare to other roles: Healthcare=13,642, Education=12,490, Media=9,574, Finance=8,385.
Step 4: Technology is the largest group."
Which work-life balance rating is associated with the highest attrition?,Poor work-life balance is associated with the highest attrition rate at 60.11%.,"Step 1: Compute attrition rate per Work-Life Balance rating.
Step 2: Poor=60.11%, Fair=57.46%, Good=40.56%, Excellent=35.81%.
Step 3: Rank descending → Poor has the highest attrition at 60.11%."
What is the attrition rate for employees with excellent work-life balance?,Employees with excellent work-life balance have an attrition rate of 35.81%.,"Step 1: Filter Work-Life Balance == 'Excellent'.
Step 2: Compute attrition rate = Left / total in group = 35.81%."
What is the spread in attrition between 'Poor' and 'Excellent' work-life balance?,The spread is 24.30 percentage points — Poor at 60.11% versus Excellent at 35.81%.,"Step 1: Poor Work-Life Balance attrition = 60.11%.
Step 2: Excellent Work-Life Balance attrition = 35.81%.
Step 3: Spread = 60.11% - 35.81% = 24.30 percentage points."
What is the attrition rate for employees with 'Good' work-life balance?,Employees with Good work-life balance have an attrition rate of 40.56%.,"Step 1: Filter Work-Life Balance == 'Good'.
Step 2: Compute attrition rate = Left / total in group = 40.56%."
What is the attrition rate for employees with 'Fair' work-life balance?,Employees with Fair work-life balance have an attrition rate of 57.46%.,"Step 1: Filter Work-Life Balance == 'Fair'.
Step 2: Compute attrition rate = Left / total in group = 57.46%."
Which job satisfaction level has the highest attrition rate?,"Surprisingly, Very High job satisfaction has the highest attrition rate at 52.89%, followed by Low at 52.42%.","Step 1: Compute attrition rate per Job Satisfaction level.
Step 2: Very High=52.89%, Low=52.42%, High=45.30%, Medium=45.32%.
Step 3: Rank descending → Very High leads at 52.89%."
What is the attrition rate for employees with high job satisfaction?,Employees with High job satisfaction have an attrition rate of 45.30%.,"Step 1: Filter Job Satisfaction == 'High'.
Step 2: Compute attrition rate = Left / total in group = 45.30%."
What is the attrition rate for employees with medium job satisfaction?,Employees with Medium job satisfaction have an attrition rate of 45.32%.,"Step 1: Filter Job Satisfaction == 'Medium'.
Step 2: Compute attrition rate = Left / total in group = 45.32%."
Which performance rating has the highest attrition rate?,Low performance rating is associated with the highest attrition rate at 57.53%.,"Step 1: Compute attrition rate per Performance Rating.
Step 2: Low=57.53%, Below Average=51.81%, Average=46.15%, High=46.07%.
Step 3: Rank descending → Low has the highest attrition at 57.53%."
What is the attrition rate for employees with high performance?,"Employees with High performance have an attrition rate of 46.07%, slightly below the average.","Step 1: Filter Performance Rating == 'High'.
Step 2: Compute attrition rate = Left / total in group = 46.07%.
Step 3: Overall attrition = 47.55%. 46.07% < 47.55% → slightly below average."
What is the attrition rate for below-average performers?,Below Average performers have an attrition rate of 51.81%.,"Step 1: Filter Performance Rating == 'Below Average'.
Step 2: Compute attrition rate = Left / total in group = 51.81%."
What is the attrition rate for employees who work overtime versus those who don't?,Employees who work overtime have an attrition rate of 51.54%; those who don't have a rate of 45.61%.,"Step 1: Filter Overtime == 'Yes' → attrition rate = 51.54%.
Step 2: Filter Overtime == 'No' → attrition rate = 45.61%.
Step 3: Gap = 51.54% - 45.61% = 5.93 percentage points."
How many employees work overtime?,"19,450 employees work overtime out of 59,598 total (32.63%).","Step 1: Count Overtime == 'Yes' = 19,450.
Step 2: Total = 59,598.
Step 3: Share = 19,450 / 59,598 = 32.63%."
Does overtime increase attrition risk?,"Yes — employees working overtime churn at 51.54% compared to 45.61% for those who don't, a 5.93 percentage-point difference.","Step 1: Overtime == 'Yes' attrition = 51.54%.
Step 2: Overtime == 'No' attrition = 45.61%.
Step 3: Difference = 51.54% - 45.61% = 5.93 percentage points.
Step 4: Overtime group has higher attrition → condition is True."
